2142.05;Грађевински инжењер статичар
2142.06;Грађевински инспектор
2142.07;Грађевински пројектант високоградње
2142.08;Грађевински пројектант нискоградње
2142.09;Грађевински пројектант путева
2142.1;Грађевински пројектант хидроенергетских објеката
2142.11;Грађевински пројектант хидротехничке инфраструктуре
2142.12;Инжењер високоградње
2142.13;Инжењер нискоградње
2142.14;Истраживач у области грађевинарства
2143.01;Еколошки инжењер
2143.02;Инжењер за управљање загађењем ваздуха
2143.03;Инжењер заштите животне средине
2143.04;Процесни инжењер за отпадне воде
2143.05;Специјалиста за очување животне средине
2143.06;Стручњак за енергетску ефикасност
2144.01;Авио-инжењер за контролу исправности ваздухоплова
2144.02;Инжењер аеро-наутике
2144.03;Инжењер бродоградње
2144.04;Инжењер за одржавање друмских возила
2144.05;Инжењер контроле квалитета обраде метала
2144.06;Инжењер обраде метала
2144.07;Инжењер производње и одржавања алатних машина
2144.08;Инжењер производње и одржавања машина и уређаја прецизне технике
2144.09;Инжењер производње и одржавања механизације
2144.1;Инжењер производње и одржавања процесних машина и постројења
2144.11;Инжењер производње и одржавања термотехничких машина и постројења
2144.12;Истраживач пројектовања саобраћајних средстава
2144.13;Истраживач у области машинства
2144.14;Конструктор ваздухоплова
2144.15;Конструктор мотора са унутрашњим сагоревањем
2144.16;Конструктор процесних машина и постројења
2144.17;Конструктор термоенергетских постројења
2144.18;Конструктор уређаја хидраулике и пнеуматике
2144.19;Конструктор хидроенергетских постројења
2144.2;Машински инжењер
2144.21;Машински инжењер ауто-механике
2144.22;Машински инжењер за нуклеарну енергију
2144.23;Пројектант за индустријску механизацију, лифтове и жичаре
2144.24;Пројектант машинског инжењеринга
2144.25;Пројектант металних конструкција
2144.26;Пројектант термотехничких уређаја
2144.27;Пројектант хидроенергетских постројења
2144.28;Инжењер производње моторних возила
2145.01;Гумарско-пластичарски технолог
2145.02;Истраживач у области прехрамбене технологије
2145.03;Истраживач у области хемијске технологије
2145.04;Петрохемијски технолог
2145.05;Пројектант хемијских процеса
2145.06;Технолог графичарства
2145.07;Технолог за прераду воде
2145.08;Технолог за производњу боја и лакова
2145.09;Технолог кондиторске производње
2145.1;Технолог прераде воћа и поврћа
2145.11;Технолог прераде дувана
2145.12;Технолог прераде жита
2145.13;Технолог прераде меса и рибе
2145.14;Технолог прераде млека
2145.15;Технолог производње алкохола, квасца и киселина
2145.16;Технолог производње готових јела
2145.17;Технолог производње и прераде анималних производа
2145.18;Технолог производње и прераде биљних производа
2145.19;Технолог производње концентроване сточне хране
2145.2;Технолог производње пића
2145.21;Технолог производње хлеба, пецива и тестенина
2145.22;Технолог текстилне конфекције
2145.23;Хемијски аналитичар
2145.24;Хемијски технолог за неметале
2145.25;Хемијски технолог примене производа
2146.01;Инжењер галванизације
2146.02;Инжењер обраде челичних производа
2146.03;Инжењер припреме и оплемењивања минералних сировина
2146.04;Инжењер производње каблова и проводника
2146.05;Истраживач у области рударства и металургије
2146.06;Металуршки инжењер
2146.07;Рударски инжењер
2146.08;Рударски инжењер површинске експлоатације
2146.09;Рударски инжењер подземне експлоатације
2149.01;Биомедицински инжењер
2149.02;Енергетски ревизор
2149.03;Инжењер за експлозивна убојна средства
2149.04;Инжењер за материјале
2149.05;Инжењер за оптику
2149.06;Инжењер безбедности и здравља на раду
2149.07;Инжењер заштите од пожара
2149.08;Инжењер контроле квалитета
2151.01;Електроинжењер
2151.02;Инжењер експлоатације електричних машина за уређаје и постројења
2151.03;Инжењер експлоатације опреме железничке вуче и возила
2151.04;Инжењер електроенергетике
2151.05;Инжењер електромеханике
2151.06;Инжењер електроснабдевања
2151.07;Инжењер производње електротехничких производа
2151.08;Истраживач у области електротехнике
2151.09;Конструктор електричних производа
2151.1;Пројектант електричних апарата за домаћинство
2151.11;Пројектант за електроенергетику
2152.01;Инжењер електроничар
2152.02;Инжењер електроничар за инструменте
2152.03;Инжењер електроничар за информациони инжењеринг
2152.04;Инжењер електроничар за полупроводнике
2152.05;Инжењер за рачунарски хардвер
2152.06;Инжењер медицинске електронике
2152.07;Инжењер мехатронике
2152.08;Инжењер одржавања рачунарске опреме
2152.09;Инжењер производње рачунарске опреме
2153.01;Инжењер за емисиону технику
2153.02;Инжењер за телекомуникационе мреже
2153.03;Инжењер ПТТ саобраћаја
2153.04;Инжењер телекомуникација
2153.05;Инспектор за телекомуникације
2153.06;Истраживач у области телекомуникација
2161.01;Архитекта
2161.02;Архитекта за просторно планирање
2161.03;Архитектонски пројектант
2161.04;Архитектонски пројектант ентеријера и дизајна
2161.05;Архитектонски технолог конзервације и ревитализације објекта
2162.01;Архитекта за пејзажну архитектуру
2162.02;Инжењер за пејзажну архитектуру
2163.01;Дизајнер
2163.02;Дизајнер амбалаже
2163.03;Дизајнер индустријских производа
2163.04;Дизајнер накита
2163.05;Дизајнер обуће
2163.06;Дизајнер текстила
2163.07;Дизајнер техничких производа
2163.08;Костимограф
2163.09;Модни дизајнер
2163.1;Модни креатор
2163.11;Уметнички пројектант ентеријера и дизајна
2164.01;Инжењер друмског саобраћаја
2164.02;Инжењер друмског саобраћаја за међународни транспорт и шпедицију
2164.03;Инжењер железничког саобраћаја
2164.04;Инспектор за друмски и јавни саобраћај
2164.05;Инспектор за железнички саобраћај
2164.06;Инспектор за јавне путеве
2164.07;Инспектор за просторно планирање
2164.08;Инспектор за унутрашњу пловидбу
2164.09;Истраживач у области саобраћаја
2164.1;Истраживач у области урбанизма
2164.11;Просторни планер
2164.12;Саобраћајни инжењер
2164.13;Саобраћајни инспектор
2164.14;Саобраћајни планер
2164.15;Урбаниста
2164.16;Урбанистички инспектор
2164.17;Урбанистички планер
2164.18;Урбанистички пројектант
2165.01;Геодета
2165.02;Геодета примењене геодезије
2165.03;Геодета специјалиста за аероснимање
2165.04;Геодета специјалиста за хидрографију
2165.05;Геодета у рударству
2165.06;Геодетски аналитичар
2165.07;Инжењер геодезије
2165.08;Картограф
2165.09;Катастарски геодета
2165.1;Фотограметар
2166.01;Веб-дизајнер
2166.02;Графички дизајнер
2166.03;Графички уредник часописа и новина
2166.04;Дигитални уметник
2166.05;Дизајнер звука
2166.06;Дизајнер компјутерских игара
2166.07;Дизајнер мултимедија
2166.08;Дизајнер публикација
2166.09;Илустратор књига
2166.1;Илустратор постера/паноа
2166.11;Ликовни графичар
2211.01;Лекар
2211.02;Лекар у служби хитне медицинске помоћи
2211.03;Лекар у спорту
2212.01;Акушер
2212.02;Алерголог
2212.03;Анестезиолог
2212.04;Вариколог
2212.05;Вирусолог
2212.06;Гастроентеролог
2212.07;Геронтолог
2212.08;Гинеколог
2212.09;Дерматовенеролог
2212.1;Дерматолог
2212.11;Дијабетолог
2212.12;Ендокринолог
2212.13;Епидемиолог
2212.14;Имунолог
2212.15;Интерниста
2212.16;Инфектолог
2212.17;Кардиоваскуларни хирург
2212.18;Кардиолог
2212.19;Клинички патолог
2212.2;Медицински бактериолог
2212.21;Медицински патолог
2212.22;Миколог
2212.23;Неонатолог
2212.24;Неуролог
2212.25;Неуропатолог
2212.26;Неуропедијатар
2212.27;Неуропсихијатар
2212.28;Неурохирург
2212.29;Нефролог
2212.3;Онколог
2212.31;Ортопед
2212.32;Оториноларинголог
2212.33;Офталмолог
2212.34;Паразитолог
2212.35;Патолог
2212.36;Патолог судске медицине / хистопатологије / неуропатологије у хирургији
2212.37;Педијатар
2212.38;Перинатолог
2212.39;Пнеумолог
2212.4;Психијатар
2212.41;Пулмолог
2212.42;Радијациони онколог
2212.43;Радиолог
2212.44;Реуматолог
2212.45;Специјалиста медицине рада
2212.46;Специјалиста нуклеарне медицине
2212.47;Специјалиста социјалне медицине
2212.48;Специјалиста спортске медицине
2212.49;Специјалиста ургентне медицине
2212.5;Трансфузиолог
2212.51;Трауматолог
2212.52;Уролог
2212.53;Физијатар
2212.54;Физиолог
2212.55;Физиолог ендокринолог
2212.56;Физиолог епидемиолог
2212.57;Физиолог неуролог
2212.58;Фонијатар
2212.59;Хематолог
2212.6;Хирург
2212.61;Хистопатолог
2212.62;Специјалиста медицинске микробиологије
2212.63;Специјалиста хигијене
2221.01;Виша анестезиолошка медицинска сестра
2221.02;Виша медицинска сестра
2221.03;Виша педијатријска медицинска сестра
2221.04;Виша психијатријска медицинска сестра
2221.05;Главна медицинска сестра
2222.01;Виша гинеколошко-акушерска сестра
2230.01;Акупунктуролог
2230.02;Хомеопат
2250.01;Ветеринар
2250.02;Ветеринар епидемиолог
2250.03;Ветеринар патолог
2250.04;Ветеринар репродукције и вештачког осемењавања
2250.05;Ветеринар специјалиста епизоотиологије заразних и паразитских болести
2250.06;Ветеринар хирург
